Previsão,Real
12945.489661130017,5500.0
1407.778365754163,890.0
8509.631726208816,5170.0
2863.994354490921,5250.0
3760.1272706366185,2600.0
1519.7949802723751,750.0
2415.9278964180726,4100.0
1340.5683970432356,1200.0
6000.459561000863,3800.0
2639.961125454497,1700.0
3289.6574896601273,3500.0
11601.290286911473,2500.0
4880.293415818741,4000.0
3312.06081256377,2500.0
5664.409717446226,6000.0
5104.326644855165,10880.0
1967.8614383452239,4410.0
1609.4082718869447,1300.0
1743.8282093087994,5090.0
2415.9278964180726,4030.0
2012.6680841525088,3200.0
3200.044198045558,1700.0
1519.7949802723751,813.0
1676.618240597872,1500.0
3088.0275835273455,1950.0
1071.7285221995262,1070.0
5552.393102928014,4950.0
3088.0275835273455,5160.0
1967.8614383452239,3088.0
3088.0275835273455,5000.0
3222.4475209492,3400.0
2639.961125454497,3000.0
2908.801000298206,4000.0
3536.0940416001945,3600.0
1519.7949802723751,830.0
2303.91128189986,1660.0
1295.7617512359507,1639.0
3984.160499673043,2730.0
12497.42320305717,10000.0
5440.376488409802,8440.0
3536.0940416001945,2447.0
3312.06081256377,1890.0
7120.625706182984,4500.0
3692.9173019256914,3440.0
2639.961125454497,2000.0
1743.8282093087994,1350.0
3200.044198045558,3000.0
3760.1272706366185,3500.0
1004.518553488599,600.0
5552.393102928014,3690.0
3580.9006874074794,4000.0
3536.0940416001945,9690.0
1967.8614383452239,1930.0
4096.177114191256,9500.0
7456.675549737621,8400.0
1519.7949802723751,1300.0
10481.12414172935,15000.0
6224.492790037287,9000.0
3760.1272706366185,1300.0
3760.1272706366185,3800.0
1071.7285221995262,500.0
1743.8282093087994,1480.0
1295.7617512359507,800.0
4880.293415818741,3900.0
10033.057683656501,6000.0
7120.625706182984,5600.0
3760.1272706366185,3350.0
6224.492790037287,4000.0
1407.778365754163,650.0
1967.8614383452239,1400.0
9159.328090414445,3800.0
1743.8282093087994,1100.0
3200.044198045558,1700.0
1967.8614383452239,2500.0
3760.1272706366185,3040.0
8240.791851365106,7500.0
7120.625706182984,7500.0
1407.778365754163,800.0
1743.8282093087994,850.0
7680.708778774045,12000.0
3961.7571767694008,3980.0
1183.7451367177387,850.0
1183.7451367177387,690.0
3536.0940416001945,2900.0
4880.293415818741,4128.0
2639.961125454497,2500.0
2460.7345422253575,2640.0
2863.994354490921,3570.0
5552.393102928014,4240.0
2639.961125454497,2450.0
2191.894667381648,1550.0
5104.326644855165,5000.0
1340.5683970432356,1600.0
2303.91128189986,1450.0
2639.961125454497,2500.0
1967.8614383452239,3800.0
1273.3584283323082,900.0
3491.2873957929096,5810.0
4768.276801300528,4100.0
1183.7451367177387,650.0
10929.190599802198,9790.0
1497.3916573687327,935.0
1295.7617512359507,1133.0
4432.226957745892,5499.0
1071.7285221995262,1000.0
2863.994354490921,1300.0
5552.393102928014,5625.0
4208.193728709468,3800.0
1407.778365754163,500.0
3312.06081256377,3000.0
6448.526019073711,6500.0
1519.7949802723751,1200.0
2191.894667381648,1850.0
2707.171094165424,3900.0
1743.8282093087994,2300.0
2415.9278964180726,1500.0
4880.293415818741,5400.0
3244.850843852843,2700.0
4208.193728709468,8500.0
2639.961125454497,4000.0
2483.1378651289997,5440.0
4880.293415818741,6200.0
5552.393102928014,4940.0
2438.3312193217153,2700.0
4163.387082902183,5000.0
3088.0275835273455,7400.0
847.695293163102,1150.0
5776.426331964438,3500.0
1362.971719946878,812.0
2191.894667381648,1099.0
1855.8448238270116,1800.0
1967.8614383452239,969.0
1743.8282093087994,2000.0
3088.0275835273455,2580.0
4320.21034322768,3650.0
1743.8282093087994,1850.0
1318.1650741395931,2704.0
3984.160499673043,2160.0
1295.7617512359507,1100.0
1811.0381780197267,1850.0
1071.7285221995262,1200.0
7792.725393292258,5900.0
4320.21034322768,5070.0
1519.7949802723751,930.0
3155.237552238273,4000.0
1318.1650741395931,1200.0
2415.9278964180726,5500.0
1295.7617512359507,900.0
3088.0275835273455,4000.0
4768.276801300528,5250.0
1967.8614383452239,900.0
6000.459561000863,4500.0
1071.7285221995262,1250.0
1519.7949802723751,1200.0
3132.8342293346304,8500.0
3088.0275835273455,4840.0
3200.044198045558,3860.0
2639.961125454497,3500.0
4432.226957745892,2735.0
1071.7285221995262,1550.0
5776.426331964438,7000.0
1295.7617512359507,1500.0
6000.459561000863,3200.0
2527.9445109362846,1100.0
4432.226957745892,4400.0
2191.894667381648,2800.0
1519.7949802723751,690.0
4208.193728709468,3100.0
1519.7949802723751,1000.0
2079.878052863436,1900.0
2415.9278964180726,1500.0
4880.293415818741,2500.0
4208.193728709468,4100.0
1295.7617512359507,1068.0
1743.8282093087994,900.0
5776.426331964438,5000.0
5776.426331964438,5800.0
1407.778365754163,908.0
5776.426331964438,5500.0
5440.376488409802,7267.0
5529.989780024372,3850.0
2191.894667381648,2200.0
1295.7617512359507,990.0
2550.3478338399273,2701.0
4656.260186782316,4200.0
1407.778365754163,800.0
1855.8448238270116,2010.0
2415.9278964180726,2800.0
5216.343259373377,8000.0
1743.8282093087994,2315.0
4857.890092915098,6065.0
1295.7617512359507,2000.0
2415.9278964180726,2450.0
7568.692164255833,13000.0
2415.9278964180726,1550.0
1295.7617512359507,2370.0
3088.0275835273455,2850.0
4432.226957745892,2300.0
668.4687099339625,1070.0
2415.9278964180726,2000.0
1855.8448238270116,2200.0
3088.0275835273455,3000.0
1407.778365754163,935.0
3110.430906430988,3900.0
1519.7949802723751,1300.0
6650.155925206493,3600.0
3088.0275835273455,4500.0
982.1152305849566,730.0
3984.160499673043,5000.0
3760.1272706366185,4300.0
2751.977739972709,1750.0
1026.9218763922413,550.0
7568.692164255833,7000.0
2863.994354490921,2400.0
7053.415737472057,10480.0
3020.8176148164184,4500.0
2415.9278964180726,3300.0
1407.778365754163,1040.0
2303.91128189986,2200.0
2191.894667381648,1320.0
1273.3584283323082,1000.0
3312.06081256377,2600.0
1900.6514696342965,2350.0
8912.891538474378,7300.0
2169.491344478006,1900.0
3760.1272706366185,2040.0
1519.7949802723751,1000.0
1071.7285221995262,750.0
1340.5683970432356,1000.0
1967.8614383452239,1820.0
2124.6846986707205,2288.0
1519.7949802723751,600.0
1833.4415009233692,2500.0
1519.7949802723751,1300.0
1923.054792537939,1700.0
1474.9883344650902,900.0
1071.7285221995262,650.0
3558.4973645038367,6780.0
6000.459561000863,5000.0
1497.3916573687327,930.0
1295.7617512359507,800.0
2191.894667381648,2910.0
3155.237552238273,4875.0
1542.1983031760176,1800.0
1295.7617512359507,1100.0
9764.217808812791,15000.0
5776.426331964438,8000.0
7120.625706182984,15000.0
1183.7451367177387,980.0
7344.658935219409,15000.0
1295.7617512359507,1000.0
1183.7451367177387,1100.0
2191.894667381648,1200.0
4790.680124204171,2500.0
4611.4535409750315,3930.0
1295.7617512359507,1900.0
2191.894667381648,2000.0
1071.7285221995262,1150.0
2214.2979902852903,2856.0
3648.1106561184065,5700.0
1295.7617512359507,1200.0
3760.1272706366185,1554.0
2639.961125454497,2300.0
2191.894667381648,1700.0
2191.894667381648,1450.0
1855.8448238270116,1650.0
3760.1272706366185,1880.0
2415.9278964180726,1400.0
2863.994354490921,3500.0
5776.426331964438,5600.0
2079.878052863436,2120.0
7120.625706182984,3400.0
2191.894667381648,2970.0
3312.06081256377,2200.0
7120.625706182984,5800.0
1295.7617512359507,1300.0
4432.226957745892,800.0
4432.226957745892,3200.0
2102.2813757670783,3500.0
1295.7617512359507,1350.0
2863.994354490921,2700.0
1743.8282093087994,850.0
2079.878052863436,1900.0
7120.625706182984,2550.0
2863.994354490921,3345.0
3580.9006874074794,4500.0
3760.1272706366185,5900.0
2191.894667381648,1227.0
6448.526019073711,3980.0
3760.1272706366185,2300.0
2976.0109690091335,2850.0
1407.778365754163,1200.0
2415.9278964180726,1330.0
3088.0275835273455,2800.0
1474.9883344650902,1980.0
1743.8282093087994,1300.0
1855.8448238270116,1500.0
3356.867458371055,2400.0
4880.293415818741,3500.0
1945.4581154415814,1600.0
982.1152305849566,950.0
1967.8614383452239,1500.0
1967.8614383452239,1750.0
1206.1484596213809,1600.0
1855.8448238270116,1800.0
1250.9551054286658,870.0
2079.878052863436,2650.0
5776.426331964438,4500.0
6717.36589391742,8000.0
3536.0940416001945,6241.0
1743.8282093087994,1200.0
1362.971719946878,550.0
3760.1272706366185,4350.0
5776.426331964438,12000.0
1743.8282093087994,1500.0
3312.06081256377,2730.0
2976.0109690091335,3529.0
2415.9278964180726,1300.0
1340.5683970432356,1481.0
2281.507958996218,2850.0
1116.535168006811,780.0
11601.290286911473,11250.0
2863.994354490921,2950.0
